EmployeeID,Age,Gender,Department,JobRole,EducationField,Education,MonthlyIncome,JobLevel,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,OverTime,BusinessTravel,DistanceFromHome,Attrition
EMP0041,56,Male,Sales,Sales Executive,Life Sciences,4,10831,1,4,3,2,3,2,3,No,Travel_Rarely,28,No
EMP0042,34,Male,Research & Development,Laboratory Technician,Human Resources,3,10234,2,40,31,1,4,4,3,No,Travel_Frequently,29,No
EMP0043,28,Female,Sales,Sales Representative,Medical,4,8220,1,12,6,3,2,4,3,No,Travel_Rarely,5,No
EMP0044,23,Male,Human Resources,Manager,Medical,3,6202,3,15,10,3,2,2,3,No,Travel_Rarely,20,No
EMP0045,40,Female,Sales,Sales Executive,Medical,3,9874,1,12,4,3,2,2,3,Yes,Travel_Frequently,29,No
EMP0046,44,Female,Research & Development,Manager,Medical,1,10623,2,0,0,4,1,1,3,No,Travel_Rarely,11,No
EMP0047,23,Male,Research & Development,Laboratory Technician,Life Sciences,3,6786,2,1,0,2,1,3,3,No,Travel_Rarely,18,No
EMP0048,55,Female,Research & Development,Research Scientist,Marketing,1,10896,1,0,0,1,4,4,3,No,Travel_Rarely,18,No
EMP0049,19,Male,Research & Development,Research Director,Life Sciences,4,6747,3,2,1,4,4,3,3,No,Travel_Rarely,7,No
EMP0050,39,Male,Sales,Sales Executive,Marketing,5,8588,1,0,0,2,1,3,3,No,Travel_Frequently,10,No
EMP0051,37,Female,Human Resources,Manager,Technical Degree,2,7737,1,4,1,3,1,4,3,Yes,Travel_Rarely,23,No
EMP0052,42,Male,Research & Development,Manager,Technical Degree,2,10507,2,7,4,3,2,4,3,Yes,Travel_Rarely,20,No
EMP0053,32,Female,Human Resources,Human Resources,Medical,3,8153,2,14,9,3,1,1,3,No,Travel_Rarely,14,No
EMP0054,46,Male,Research & Development,Research Director,Medical,2,9151,3,9,5,2,2,2,3,No,Travel_Rarely,20,No
EMP0055,25,Female,Research & Development,Research Director,Life Sciences,4,9204,1,19,7,3,1,1,3,No,Non-Travel,20,No
EMP0056,54,Male,Human Resources,Human Resources,Marketing,1,8672,1,0,0,4,2,4,3,No,Travel_Frequently,11,No
EMP0057,50,Male,Sales,Manager,Life Sciences,1,10264,2,0,0,3,2,4,3,No,Travel_Frequently,2,No
EMP0058,39,Male,Sales,Manager,Medical,5,8468,2,7,2,2,2,3,4,No,Travel_Rarely,13,No
EMP0059,22,Female,Sales,Sales Representative,Life Sciences,3,7467,4,2,1,1,1,1,3,Yes,Travel_Rarely,13,Yes
EMP0060,56,Female,Research & Development,Laboratory Technician,Life Sciences,4,11383,3,2,1,1,2,2,3,Yes,Travel_Rarely,9,No
EMP0061,35,Male,Research & Development,Research Director,Medical,2,9717,3,2,1,2,4,2,4,Yes,Travel_Frequently,17,No
EMP0062,55,Female,Sales,Manager,Life Sciences,3,11469,2,2,1,2,2,3,3,No,Travel_Rarely,15,No
EMP0063,54,Male,Research & Development,Healthcare Representative,Marketing,3,10754,3,5,4,4,4,2,3,No,Travel_Rarely,24,No
EMP0064,47,Male,Research & Development,Manager,Life Sciences,3,10505,4,4,2,3,4,1,3,No,Travel_Rarely,22,No
EMP0065,48,Female,Sales,Sales Executive,Life Sciences,3,9489,2,5,3,3,4,4,3,Yes,Travel_Rarely,29,No
EMP0066,27,Female,Research & Development,Healthcare Representative,Medical,3,8805,3,7,3,3,4,2,3,No,Travel_Rarely,26,No
EMP0067,32,Female,Sales,Manager,Life Sciences,2,8911,3,3,2,1,3,3,3,No,Travel_Rarely,23,Yes
EMP0068,59,Female,Research & Development,Manager,Life Sciences,2,11141,2,2,1,4,4,2,3,No,Non-Travel,28,No
EMP0069,35,Male,Sales,Manager,Marketing,3,7356,2,1,0,2,1,4,3,No,Travel_Rarely,21,Yes
EMP0070,40,Female,Human Resources,Human Resources,Life Sciences,2,8965,3,3,1,1,2,3,3,Yes,Travel_Rarely,22,No
EMP0071,50,Male,Research & Development,Research Director,Technical Degree,3,10791,1,9,3,3,4,4,3,No,Travel_Rarely,22,No
EMP0072,33,Male,Sales,Manager,Life Sciences,2,8095,3,9,6,4,3,3,3,Yes,Travel_Rarely,29,No
EMP0073,55,Male,Sales,Manager,Life Sciences,3,9372,3,7,2,4,4,4,3,No,Travel_Rarely,16,No
EMP0074,52,Male,Research & Development,Research Director,Marketing,3,11840,3,1,0,1,3,4,3,No,Travel_Rarely,25,No
EMP0075,51,Male,Research & Development,Manager,Life Sciences,2,10973,2,6,2,4,4,3,3,No,Travel_Rarely,10,No
EMP0076,45,Male,Research & Development,Manager,Life Sciences,1,9916,1,5,3,2,3,4,3,No,Travel_Rarely,29,No
EMP0077,19,Male,Research & Development,Healthcare Representative,Life Sciences,1,7110,1,4,3,1,3,2,3,No,Non-Travel,20,Yes
EMP0078,47,Male,Sales,Sales Representative,Life Sciences,3,9102,3,5,3,4,3,3,3,No,Travel_Rarely,28,Yes
EMP0079,30,Male,Research & Development,Manager,Technical Degree,4,9942,4,4,3,4,4,1,3,No,Travel_Rarely,27,No
EMP0080,58,Male,Sales,Sales Executive,Life Sciences,1,10750,3,5,3,3,4,3,3,No,Travel_Rarely,12,No
EMP0081,33,Male,Research & Development,Research Director,Marketing,3,8699,1,8,5,3,4,4,3,Yes,Travel_Rarely,29,No
EMP0082,22,Female,Research & Development,Healthcare Representative,Human Resources,2,8667,4,0,0,4,3,4,3,No,Travel_Frequently,5,No
EMP0083,45,Female,Research & Development,Manager,Medical,2,9448,5,9,8,3,2,2,4,No,Travel_Rarely,20,No
EMP0084,56,Female,Sales,Manager,Human Resources,4,11680,2,1,0,4,1,3,3,No,Non-Travel,17,No
EMP0085,37,Male,Research & Development,Research Director,Life Sciences,2,10542,2,0,0,3,4,2,3,No,Travel_Rarely,10,No
EMP0086,41,Female,Research & Development,Healthcare Representative,Other,2,9406,3,26,17,4,3,3,3,No,Travel_Frequently,6,No
EMP0087,44,Male,Research & Development,Laboratory Technician,Life Sciences,1,9517,3,22,10,4,2,2,3,No,Travel_Rarely,21,No
EMP0088,47,Male,Research & Development,Research Director,Marketing,1,8165,5,0,0,1,1,4,3,No,Travel_Frequently,20,No
EMP0089,44,Male,Research & Development,Laboratory Technician,Medical,2,8834,1,4,2,4,4,2,3,Yes,Travel_Rarely,6,No
EMP0090,43,Female,Research & Development,Laboratory Technician,Life Sciences,1,8868,2,1,0,3,4,2,3,Yes,Travel_Rarely,12,No
EMP0091,24,Male,Sales,Sales Executive,Medical,3,8028,3,4,3,2,4,4,3,No,Travel_Rarely,21,No
EMP0092,59,Male,Research & Development,Manager,Marketing,2,10959,4,12,7,3,3,3,3,No,Travel_Rarely,19,No
EMP0093,55,Male,Research & Development,Research Director,Life Sciences,2,9823,4,21,6,1,2,1,3,No,Travel_Rarely,2,No
EMP0094,22,Female,Research & Development,Laboratory Technician,Life Sciences,2,8035,5,7,6,3,2,3,3,No,Non-Travel,13,No
EMP0095,40,Female,Research & Development,Research Scientist,Marketing,2,10104,2,3,1,4,1,1,3,No,Non-Travel,22,No
EMP0096,45,Male,Research & Development,Healthcare Representative,Medical,3,10522,4,6,4,2,4,4,3,No,Travel_Rarely,20,Yes
EMP0097,51,Male,Research & Development,Research Director,Other,4,9060,2,2,0,2,1,3,3,No,Travel_Rarely,11,No
EMP0098,32,Male,Research & Development,Laboratory Technician,Marketing,1,8957,2,16,9,4,3,2,4,No,Travel_Rarely,15,No
EMP0099,49,Female,Sales,Manager,Other,4,8813,2,14,13,2,3,3,3,No,Travel_Rarely,13,No
EMP0100,43,Male,Sales,Sales Executive,Marketing,3,10161,3,5,1,2,3,1,4,Yes,Travel_Frequently,26,No
EMP0101,48,Female,Sales,Manager,Life Sciences,3,10467,5,2,1,2,4,4,3,Yes,Travel_Rarely,3,Yes
EMP0102,36,Male,Research & Development,Research Scientist,Life Sciences,2,8661,2,2,1,3,1,4,3,No,Travel_Rarely,14,No
EMP0103,26,Female,Research & Development,Laboratory Technician,Marketing,1,7967,1,0,0,3,3,4,3,No,Non-Travel,8,No
EMP0104,46,Male,Research & Development,Manager,Medical,1,9810,3,11,9,4,1,3,3,Yes,Travel_Rarely,28,No
EMP0105,56,Male,Human Resources,Manager,Life Sciences,3,8177,3,4,1,2,1,2,3,Yes,Non-Travel,9,No
EMP0106,21,Male,Sales,Sales Representative,Life Sciences,2,7948,5,2,0,4,2,1,3,No,Travel_Rarely,15,No
EMP0107,20,Male,Research & Development,Research Scientist,Other,4,7881,2,4,2,3,1,3,3,No,Travel_Rarely,23,No
EMP0108,46,Male,Research & Development,Research Director,Medical,2,10956,1,11,5,2,3,3,3,Yes,Travel_Rarely,18,No
EMP0109,28,Female,Sales,Sales Executive,Medical,1,7361,2,0,0,3,3,3,3,Yes,Travel_Rarely,8,No
EMP0110,50,Male,Sales,Sales Representative,Medical,3,9504,1,13,4,3,1,4,3,No,Non-Travel,11,No
EMP0111,55,Female,Sales,Manager,Life Sciences,2,9194,2,15,5,3,1,2,3,No,Travel_Rarely,29,No
EMP0112,28,Female,Sales,Manager,Life Sciences,2,7436,1,20,15,1,3,1,3,Yes,Travel_Rarely,29,Yes
EMP0113,44,Male,Human Resources,Human Resources,Life Sciences,3,8074,1,3,1,1,4,1,3,No,Non-Travel,27,Yes
EMP0114,50,Female,Research & Development,Manager,Life Sciences,4,11296,1,1,0,2,2,2,3,No,Travel_Rarely,5,No
EMP0115,38,Female,Research & Development,Research Director,Marketing,3,8981,5,3,1,2,3,1,3,No,Travel_Frequently,15,No
EMP0116,56,Male,Research & Development,Research Scientist,Medical,3,11079,2,2,0,3,4,3,3,No,Travel_Rarely,15,No
EMP0117,48,Female,Research & Development,Laboratory Technician,Technical Degree,3,10035,2,1,0,1,3,2,3,No,Travel_Rarely,27,Yes
EMP0118,55,Male,Sales,Sales Executive,Technical Degree,4,9384,4,6,3,3,2,2,3,No,Travel_Rarely,26,No
EMP0119,19,Male,Research & Development,Laboratory Technician,Life Sciences,2,7885,3,4,3,2,3,4,3,No,Travel_Rarely,7,No
EMP0120,44,Female,Research & Development,Laboratory Technician,Medical,1,10499,3,14,5,2,3,2,3,Yes,Travel_Frequently,21,No
EMP0121,53,Male,Research & Development,Research Scientist,Medical,2,9773,3,0,0,3,3,3,3,No,Travel_Frequently,18,No
EMP0122,28,Male,Research & Development,Manager,Human Resources,2,9387,3,7,5,2,3,3,3,No,Travel_Rarely,28,No
EMP0123,35,Male,Research & Development,Laboratory Technician,Life Sciences,3,8620,4,10,5,4,4,3,3,No,Travel_Rarely,12,No
EMP0124,18,Female,Sales,Sales Executive,Medical,3,7053,3,9,7,1,2,4,3,Yes,Travel_Rarely,12,No
EMP0125,52,Female,Sales,Sales Representative,Medical,3,10584,4,15,10,2,4,1,3,No,Travel_Rarely,4,No
EMP0126,52,Male,Research & Development,Healthcare Representative,Life Sciences,1,10129,2,9,5,4,3,3,3,No,Travel_Frequently,29,No
EMP0127,48,Female,Research & Development,Manager,Life Sciences,3,10370,2,18,12,3,3,4,4,No,Travel_Rarely,11,No
EMP0128,45,Female,Research & Development,Research Director,Medical,2,9848,4,2,1,2,1,3,3,Yes,Travel_Rarely,21,Yes
EMP0129,56,Male,Sales,Sales Representative,Marketing,3,10583,2,4,1,2,2,2,3,No,Non-Travel,6,No
EMP0130,18,Male,Research & Development,Healthcare Representative,Life Sciences,3,6035,4,0,0,3,3,3,4,No,Travel_Rarely,21,No
EMP0131,42,Female,Research & Development,Research Director,Medical,2,8396,1,0,0,4,3,3,3,No,Travel_Frequently,10,No
EMP0132,55,Female,Sales,Manager,Life Sciences,1,10892,2,1,0,4,1,4,4,Yes,Travel_Rarely,27,No
EMP0133,37,Female,Sales,Sales Representative,Marketing,1,9789,4,0,0,2,3,1,3,No,Non-Travel,15,No
EMP0134,20,Male,Research & Development,Research Scientist,Life Sciences,4,7371,1,2,1,4,1,1,3,No,Non-Travel,1,No
EMP0135,19,Male,Human Resources,Manager,Human Resources,4,6824,4,1,0,1,4,2,3,No,Travel_Rarely,17,No
EMP0136,35,Male,Research & Development,Healthcare Representative,Life Sciences,3,9535,5,0,0,1,4,2,3,Yes,Travel_Frequently,3,No
EMP0137,27,Male,Research & Development,Research Director,Life Sciences,1,9214,4,16,9,4,1,2,3,Yes,Travel_Frequently,25,No
EMP0138,22,Male,Research & Development,Laboratory Technician,Life Sciences,2,6637,2,0,0,1,4,2,3,No,Travel_Frequently,11,Yes
EMP0139,26,Female,Research & Development,Research Scientist,Life Sciences,3,7871,3,9,6,1,4,2,3,No,Travel_Rarely,18,No
EMP0140,19,Male,Human Resources,Human Resources,Medical,3,6753,4,1,0,2,2,2,3,Yes,Travel_Rarely,10,No
EMP0141,51,Female,Human Resources,Manager,Life Sciences,1,10142,3,17,5,2,3,4,3,No,Travel_Rarely,21,No
EMP0142,55,Male,Sales,Sales Executive,Technical Degree,1,12398,3,15,8,3,2,2,3,No,Travel_Rarely,9,No
EMP0143,48,Male,Research & Development,Research Scientist,Life Sciences,3,10157,5,7,3,3,3,2,4,Yes,Travel_Rarely,7,No
EMP0144,27,Male,Research & Development,Healthcare Representative,Life Sciences,2,7534,3,7,6,2,2,2,3,No,Travel_Rarely,11,Yes
EMP0145,29,Male,Sales,Sales Representative,Life Sciences,2,8641,5,0,0,3,2,4,3,No,Travel_Rarely,8,No
EMP0146,53,Male,Sales,Sales Executive,Life Sciences,1,11296,1,29,26,4,2,4,3,No,Non-Travel,2,No
EMP0147,38,Female,Research & Development,Manager,Life Sciences,2,9626,1,14,10,4,1,4,3,No,Travel_Rarely,5,No
EMP0148,23,Female,Research & Development,Research Scientist,Medical,4,7614,2,15,8,2,4,2,3,No,Travel_Rarely,9,No
EMP0149,20,Male,Sales,Sales Representative,Medical,4,8366,2,7,4,4,2,4,3,Yes,Travel_Frequently,1,No
EMP0150,27,Male,Sales,Sales Executive,Life Sciences,3,8690,3,2,1,3,2,3,3,Yes,Travel_Rarely,17,No
EMP0151,22,Female,Human Resources,Human Resources,Medical,2,6439,1,15,13,1,4,2,3,Yes,Non-Travel,10,No
EMP0152,43,Male,Sales,Manager,Medical,1,9745,5,2,0,1,3,3,3,No,Travel_Frequently,8,Yes
EMP0153,38,Male,Sales,Manager,Life Sciences,2,9837,2,5,2,1,3,4,3,No,Travel_Rarely,18,Yes
EMP0154,43,Male,Research & Development,Healthcare Representative,Medical,2,10885,2,0,0,3,4,4,3,No,Travel_Rarely,25,No
EMP0155,55,Female,Human Resources,Manager,Other,3,9846,2,17,5,1,4,4,3,Yes,Travel_Rarely,10,No
EMP0156,43,Male,Sales,Sales Executive,Medical,2,9153,2,1,0,3,1,4,4,No,Travel_Rarely,9,No
EMP0157,25,Male,Research & Development,Manager,Medical,2,9481,1,1,0,1,3,2,4,No,Travel_Rarely,4,No
EMP0158,22,Female,Research & Development,Manager,Life Sciences,1,7291,1,5,2,4,4,3,3,No,Travel_Rarely,2,No
EMP0159,32,Male,Sales,Sales Executive,Marketing,2,8910,3,10,8,2,2,1,3,No,Non-Travel,19,No
EMP0160,33,Male,Research & Development,Research Scientist,Marketing,1,8043,1,6,4,4,2,4,4,No,Non-Travel,10,Yes
EMP0161,18,Male,Research & Development,Laboratory Technician,Medical,2,8792,1,1,0,4,2,2,3,No,Non-Travel,17,No
EMP0162,33,Female,Research & Development,Healthcare Representative,Other,5,8933,3,0,0,1,1,4,3,Yes,Travel_Rarely,3,No
EMP0163,54,Male,Research & Development,Manager,Life Sciences,2,11834,1,9,7,2,3,2,3,No,Non-Travel,21,Yes
EMP0164,20,Female,Research & Development,Laboratory Technician,Life Sciences,2,8493,2,29,26,1,3,3,4,No,Travel_Rarely,19,No
EMP0165,48,Female,Sales,Manager,Marketing,4,8861,1,11,8,4,4,1,3,No,Non-Travel,19,No
EMP0166,30,Male,Research & Development,Laboratory Technician,Technical Degree,5,10039,2,4,1,3,3,2,3,Yes,Travel_Rarely,26,No
EMP0167,33,Female,Research & Development,Manager,Life Sciences,3,10380,3,16,7,1,2,4,3,No,Travel_Rarely,22,No
EMP0168,38,Male,Sales,Manager,Life Sciences,3,9745,1,3,1,1,1,1,3,Yes,Non-Travel,19,No
EMP0169,19,Male,Sales,Sales Executive,Life Sciences,2,6910,4,5,3,2,4,3,3,No,Travel_Rarely,19,No
EMP0170,44,Male,Research & Development,Research Scientist,Life Sciences,2,9775,4,4,3,4,2,1,3,No,Travel_Rarely,15,No
EMP0171,55,Male,Research & Development,Healthcare Representative,Marketing,2,11016,1,4,1,3,2,3,3,No,Non-Travel,25,No
EMP0172,43,Male,Sales,Manager,Medical,3,8877,5,10,8,4,4,2,3,Yes,Travel_Rarely,18,No
EMP0173,55,Male,Research & Development,Research Director,Life Sciences,3,12253,2,5,3,2,3,2,3,No,Travel_Frequently,17,Yes
EMP0174,42,Male,Sales,Sales Representative,Life Sciences,2,9475,1,2,1,1,2,4,3,No,Travel_Frequently,10,No
EMP0175,28,Female,Research & Development,Healthcare Representative,Life Sciences,1,6577,1,2,1,4,4,3,3,Yes,Non-Travel,24,No
EMP0176,25,Male,Sales,Sales Representative,Life Sciences,3,8271,2,0,0,1,4,2,3,No,Travel_Rarely,29,No
EMP0177,25,Female,Research & Development,Laboratory Technician,Medical,1,8221,3,6,5,4,1,3,3,Yes,Travel_Rarely,14,Yes
EMP0178,50,Male,Research & Development,Manager,Other,3,10440,2,1,0,2,4,2,3,No,Non-Travel,19,No
EMP0179,24,Male,Human Resources,Manager,Technical Degree,3,7125,4,1,0,1,2,2,3,No,Travel_Rarely,23,No
EMP0180,55,Male,Sales,Sales Executive,Life Sciences,3,11045,3,7,6,3,3,3,4,No,Travel_Rarely,18,No
EMP0181,38,Male,Research & Development,Research Scientist,Human Resources,3,10435,2,8,7,4,4,2,3,No,Travel_Rarely,11,No
EMP0182,25,Male,Sales,Manager,Marketing,4,8226,3,9,5,4,4,3,3,No,Travel_Rarely,11,No
EMP0183,38,Female,Human Resources,Human Resources,Marketing,2,8268,4,4,2,1,2,3,3,No,Travel_Rarely,12,No
EMP0184,37,Female,Research & Development,Research Scientist,Medical,3,9426,1,15,11,1,2,4,3,Yes,Travel_Rarely,8,No
EMP0185,25,Female,Sales,Manager,Life Sciences,3,8015,2,19,16,3,1,4,4,No,Travel_Rarely,16,No
EMP0186,48,Male,Research & Development,Research Scientist,Life Sciences,2,9698,2,11,4,3,3,2,3,No,Travel_Rarely,25,No
EMP0187,46,Female,Research & Development,Research Director,Life Sciences,1,10643,2,7,6,3,1,3,3,No,Travel_Rarely,24,No
EMP0188,26,Male,Research & Development,Manager,Life Sciences,2,8948,2,2,1,1,2,2,4,No,Travel_Frequently,8,No
EMP0189,32,Male,Research & Development,Research Scientist,Life Sciences,2,10292,2,28,17,4,1,2,3,Yes,Travel_Rarely,24,No
EMP0190,47,Female,Sales,Sales Representative,Medical,3,10764,3,2,1,3,2,4,3,No,Travel_Frequently,14,No
EMP0191,43,Female,Sales,Sales Executive,Marketing,4,8891,3,1,0,4,1,4,3,No,Travel_Rarely,23,No
EMP0192,27,Male,Research & Development,Research Director,Medical,2,9316,2,4,3,3,4,3,3,No,Travel_Rarely,18,No
EMP0193,46,Male,Human Resources,Human Resources,Life Sciences,1,8419,1,0,0,2,2,3,4,Yes,Travel_Rarely,24,Yes
EMP0194,33,Male,Research & Development,Manager,Other,4,9696,2,26,25,4,2,1,3,No,Travel_Rarely,21,No
EMP0195,53,Female,Research & Development,Laboratory Technician,Other,1,10326,2,6,2,3,4,3,4,Yes,Travel_Rarely,22,No
EMP0196,37,Male,Research & Development,Healthcare Representative,Marketing,2,8641,2,5,4,4,3,4,4,No,Travel_Rarely,4,No
EMP0197,54,Female,Research & Development,Research Director,Other,3,11044,4,7,6,4,2,3,3,No,Travel_Rarely,17,No
EMP0198,39,Male,Research & Development,Manager,Medical,2,7480,2,4,3,3,1,2,3,No,Travel_Rarely,13,No
EMP0199,24,Male,Research & Development,Laboratory Technician,Other,1,7019,1,0,0,3,3,3,3,No,Travel_Rarely,5,No
EMP0200,40,Male,Research & Development,Healthcare Representative,Life Sciences,1,9558,2,6,4,1,2,3,3,No,Travel_Rarely,3,No
EMP0201,58,Male,Research & Development,Laboratory Technician,Life Sciences,1,11205,3,8,7,1,3,3,3,No,Travel_Rarely,9,No
EMP0202,57,Male,Sales,Manager,Life Sciences,3,10264,3,3,2,2,2,3,3,No,Travel_Rarely,20,No
EMP0203,46,Female,Sales,Sales Representative,Life Sciences,2,8416,2,9,3,1,2,3,3,No,Non-Travel,26,Yes
EMP0204,33,Female,Research & Development,Research Scientist,Life Sciences,2,8485,1,1,0,2,2,4,4,No,Travel_Rarely,18,Yes
EMP0205,55,Female,Research & Development,Healthcare Representative,Medical,3,11212,2,1,0,2,3,4,3,No,Non-Travel,20,No
EMP0206,45,Female,Sales,Sales Representative,Marketing,4,10065,2,1,0,2,4,1,3,No,Non-Travel,19,No
EMP0207,55,Female,Sales,Manager,Medical,1,10387,5,3,2,2,1,4,4,No,Travel_Rarely,19,No
EMP0208,48,Male,Research & Development,Research Director,Life Sciences,2,11265,3,13,7,1,3,3,3,No,Travel_Rarely,21,Yes
EMP0209,31,Female,Sales,Sales Representative,Technical Degree,3,8797,3,12,10,1,1,3,3,No,Travel_Rarely,16,Yes
EMP0210,50,Male,Sales,Sales Representative,Medical,2,9402,2,3,1,3,2,4,3,Yes,Travel_Rarely,1,No
EMP0211,26,Male,Research & Development,Research Director,Life Sciences,2,8355,2,6,1,3,4,3,3,No,Non-Travel,5,No
EMP0212,44,Male,Research & Development,Manager,Medical,3,8897,3,8,5,2,2,4,3,No,Travel_Rarely,24,Yes
EMP0213,41,Male,Research & Development,Manager,Life Sciences,4,9693,2,1,0,3,4,2,3,No,Travel_Rarely,15,No
EMP0214,30,Male,Sales,Sales Executive,Life Sciences,3,9289,5,1,0,4,3,2,3,Yes,Non-Travel,26,No
EMP0215,43,Female,Research & Development,Research Scientist,Human Resources,3,10488,2,25,12,2,4,3,4,No,Travel_Rarely,12,No
EMP0216,46,Male,Sales,Manager,Life Sciences,3,10801,1,6,3,3,3,4,3,Yes,Travel_Rarely,25,Yes
EMP0217,45,Male,Research & Development,Laboratory Technician,Medical,2,9857,3,27,9,4,1,4,3,Yes,Travel_Rarely,28,No
EMP0218,45,Male,Research & Development,Research Scientist,Human Resources,3,11176,1,2,1,4,2,3,3,No,Travel_Frequently,1,No
